backend,nivel,pregunta,objetivo,top5_pubmed,top5_ct,mejor_sim_pubmed,mejor_sim_ct,ct_pasa_umbral,ct_relevantes,ct_perdido_por_umbral,pubmed_trae_cifras_ae,ct_trae_cifras_ae,necesita_ae
"MedCPT (biomédico, MIA)",Basico,How effective is dupilumab for moderate-to-severe atopic dermatitis?,dupilumab,5,0,69.682,67.81,1,5,0,0,0,0
"MedCPT (biomédico, MIA)",Basico,What EASI-75 response rates have been reported for lebrikizumab?,lebrikizumab,4,1,72.953,72.067,1,5,0,1,0,0
"MedCPT (biomédico, MIA)",Basico,Does tralokinumab reduce itch in patients with atopic dermatitis?,tralokinumab,4,1,71.766,70.513,1,5,0,1,0,0
"MedCPT (biomédico, MIA)",Basico,What is the efficacy of nemolizumab for pruritus in atopic dermatitis?,nemolizumab,4,1,70.525,69.832,1,5,0,0,0,0
"MedCPT (biomédico, MIA)",Basico,How well does upadacitinib control moderate-to-severe atopic dermatitis?,upadacitinib,4,1,72.09,70.584,1,5,0,0,0,0
"MedCPT (biomédico, MIA)",Basico,Is abrocitinib effective for atopic dermatitis in adults?,abrocitinib,3,2,74.449,74.39,1,5,0,1,0,0
"MedCPT (biomédico, MIA)",Basico,What is the clinical efficacy of baricitinib in atopic dermatitis?,baricitinib,5,0,71.74,70.133,1,5,0,0,0,0
"MedCPT (biomédico, MIA)",Basico,What are the most common adverse events of upadacitinib in atopic dermatitis?,upadacitinib,5,0,71.751,70.388,1,5,0,0,0,0
"MedCPT (biomédico, MIA)",Basico,What is known about conjunctivitis as a side effect of dupilumab?,dupilumab,5,0,72.348,70.763,1,3,0,1,1,0
"MedCPT (biomédico, MIA)",Basico,How does dupilumab compare with tralokinumab in efficacy and safety?,dupilumab;tralokinumab,5,0,70.003,66.68,1,5,0,0,0,0
"MedCPT (biomédico, MIA)",Basico,Is lebrikizumab effective in difficult-to-treat areas such as the head and neck?,lebrikizumab,5,0,66.93,63.155,0,5,1,1,1,0
"MedCPT (biomédico, MIA)",Basico,What is the evidence for dupilumab in adolescents with atopic dermatitis?,dupilumab,5,0,68.757,68.262,1,5,0,0,0,0
"MedCPT (biomédico, MIA)",Basico,What is the safety profile of JAK inhibitors in atopic dermatitis?,upadacitinib;baricitinib;abrocitinib,5,0,71.797,68.059,1,5,0,0,0,0
"MedCPT (biomédico, MIA)",Dificil,Which biologics that block IL-13 are used to treat eczema?,tralokinumab;lebrikizumab,5,0,70.757,68.619,1,3,0,0,0,0
"MedCPT (biomédico, MIA)",Dificil,Is there an antibody targeting the IL-4 receptor alpha for atopic eczema?,dupilumab,5,0,70.646,68.605,1,2,0,0,0,0
"MedCPT (biomédico, MIA)",Dificil,What therapy targeting IL-31 signaling relieves itch in atopic eczema?,nemolizumab,5,0,71.252,63.46,0,1,1,0,0,0
"MedCPT (biomédico, MIA)",Dificil,Which oral JAK inhibitors are used for severe eczema?,upadacitinib;baricitinib;abrocitinib,3,2,69.191,69.384,1,4,0,0,1,0
"MedCPT (biomédico, MIA)",Dificil,What JAK1-selective inhibitors treat atopic eczema?,upadacitinib;abrocitinib,4,1,70.344,69.987,1,3,0,0,0,0
"MedCPT (biomédico, MIA)",Dificil,Monoclonal antibody options for neurodermatitis with intense pruritus?,dupilumab;tralokinumab;lebrikizumab;nemolizumab,5,0,68.789,66.187,1,4,0,0,0,0
"MedCPT (biomédico, MIA)",Dificil,Which anti-interleukin therapies reduce flare severity in chronic eczema?,dupilumab;tralokinumab;lebrikizumab;nemolizumab,5,0,65.166,63.179,0,5,1,0,0,0
"MedCPT (biomédico, MIA)",Dificil,Systemic small-molecule treatments for refractory atopic eczema itch?,upadacitinib;baricitinib;abrocitinib,5,0,69.599,66.003,1,4,0,0,0,0
"MedCPT (biomédico, MIA)",Seguridad,What adverse events were reported with dupilumab versus placebo?,dupilumab,5,0,67.866,66.371,1,5,0,0,1,1
"MedCPT (biomédico, MIA)",Seguridad,How frequent is conjunctivitis in patients treated with dupilumab?,dupilumab,5,0,72.973,70.157,1,3,0,1,1,1
"MedCPT (biomédico, MIA)",Seguridad,What is the rate of injection-site reactions with tralokinumab?,tralokinumab,3,2,71.761,71.723,1,5,0,0,1,1
"MedCPT (biomédico, MIA)",Seguridad,What serious adverse events occurred with upadacitinib?,upadacitinib,5,0,68.898,67.475,1,5,0,0,1,1
"MedCPT (biomédico, MIA)",Seguridad,How many patients discontinued abrocitinib due to adverse events?,abrocitinib,4,1,69.544,70.936,1,5,0,0,0,1
"MedCPT (biomédico, MIA)",Seguridad,What is the incidence of herpes zoster with JAK inhibitors in atopic dermatitis?,upadacitinib;baricitinib;abrocitinib,5,0,71.908,67.421,1,5,0,0,1,1
"MedCPT (biomédico, MIA)",Seguridad,Is acne a common side effect of upadacitinib?,upadacitinib,5,0,72.632,70.648,1,5,0,1,1,1
"MedCPT (biomédico, MIA)",Seguridad,What nasopharyngitis rates were observed with lebrikizumab?,lebrikizumab,3,2,65.911,66.986,1,1,0,1,1,1
"MedCPT (biomédico, MIA)",Seguridad,What safety signals have been reported for nemolizumab?,nemolizumab,5,0,71.067,66.151,1,5,0,0,1,0
"MedCPT (biomédico, MIA)",Seguridad,How does the safety of baricitinib compare with placebo in eczema?,baricitinib,3,2,70.618,70.968,1,5,0,0,0,1
"MedCPT (biomédico, MIA)",Seguridad,Were there any deaths or malignancies reported with JAK inhibitors for eczema?,upadacitinib;baricitinib;abrocitinib,5,0,65.066,63.761,0,5,1,0,1,0
"MedCPT (biomédico, MIA)",Seguridad,What laboratory abnormalities were seen with upadacitinib treatment?,upadacitinib,5,0,69.476,67.459,1,5,0,1,1,0
OpenAI 3-small (Centivence),Basico,How effective is dupilumab for moderate-to-severe atopic dermatitis?,dupilumab,5,0,0.834,0.769,1,5,0,0,0,0
OpenAI 3-small (Centivence),Basico,What EASI-75 response rates have been reported for lebrikizumab?,lebrikizumab,5,0,0.757,0.723,1,5,0,1,1,0
