backend,nivel,n,triplet_acc,AUC
MedCPT (biomedico),Sinonimos,3,1.0,1.0
MedCPT (biomedico),Mecanismo->farmaco,6,0.833,0.833
MedCPT (biomedico),Clase,2,1.0,1.0
MedCPT (biomedico),GLOBAL,11,0.909,0.876
OpenAI 3-small (generalista),Sinonimos,3,1.0,1.0
OpenAI 3-small (generalista),Mecanismo->farmaco,6,0.667,0.75
OpenAI 3-small (generalista),Clase,2,1.0,1.0
OpenAI 3-small (generalista),GLOBAL,11,0.818,0.81
bge-small (generalista local),Sinonimos,3,1.0,1.0
bge-small (generalista local),Mecanismo->farmaco,6,0.667,0.583
bge-small (generalista local),Clase,2,0.5,0.5
bge-small (generalista local),GLOBAL,11,0.727,0.81
