doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT01385657,clinicaltrials,"A Randomized, Double-Blind, Placebo-Controlled, Sequential Ascending, Repeated-Dose Study of the Safety, Tolerability, and Pharmacokinetics of Subcutaneous REGN668 in Patients With Moderate-to-Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT01385657,dupilumab,,,1,si
NCT01548404,clinicaltrials,"A Randomized, Double-Blind, Placebo-Controlled, Repeat-Dose Study of the Efficacy, Safety, Tolerability, and Pharmacodynamics of Subcutaneously-Administered REGN668 in Adult Patients With Extrinsic Moderate-to-Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT01548404,dupilumab,,,1,si
NCT01639040,clinicaltrials,"A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Assess the Safety of REGN668 Administered Concomitantly With Topical Corticosteroids to Patients With Moderate-to-Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT01639040,dupilumab,,,1,si
NCT01979016,clinicaltrials,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study Investigating the Efficacy, Safety, Serum Concentration and Biomarker Profile of Dupilumab Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT01979016,dupilumab,,,1,si
NCT01986933,clinicaltrials,"A PHASE II, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTIPLE-DOSE STUDY TO EVALUATE THE SAFETY, TOLERABILITY, AND EFFICACY OF CIM331 IN ATOPIC DERMATITIS PATIENTS WHO ARE INADEQUATELY CONTROLLED BY OR INTOLERANT TO TOPICAL THERAPY",https://clinicaltrials.gov/study/NCT01986933,nemolizumab,,,1,si
NCT02277743,clinicaltrials,A Phase 3 Confirmatory Study Investigating the Efficacy and Safety of Dupilumab Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT02277743,dupilumab,,,1,si
NCT02340234,clinicaltrials,"A Phase II, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Lebrikizumab in Patients With Persistent Moderate to Severe Atopic Dermatitis That is Inadequately Controlled by Topical Corticosteroids",https://clinicaltrials.gov/study/NCT02340234,lebrikizumab,,,2,si
NCT02347176,clinicaltrials,"A Phase 2b, Randomized, Double-blinded, Placebo-controlled, Dose-ranging Study to Evaluate the Efficacy and Safety of Tralokinumab in Adult Subjects With Moderate-to-Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT02347176,tralokinumab,,,1,si
NCT02465606,clinicaltrials,"An Open-Label Study to Evaluate the Safety of Lebrikizumab Compared to Topical Corticosteroids in Adult Patients With Persistent, Moderate to Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT02465606,lebrikizumab,,,1,si
NCT02576938,clinicaltrials,"A Randomized, Double-Blind, Placebo-Controlled, Phase 2 Study to Evaluate the Safety and Efficacy of Baricitinib in Patients With Moderate-to-Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT02576938,baricitinib,,,1,si
