pregunta,modelo,fidelidad_cita,correccion_clinica,manejo_jerga,alucinacion,tono,media
What is the efficacy of dupilumab in adults with moderate-to-severe atopic dermatitis?,biomedico,4,5.0,5,5.0,5,4.8
What is the efficacy of dupilumab in adults with moderate-to-severe atopic dermatitis?,generalista,4,4.0,4,5.0,5,4.4
What are the most common adverse events associated with dupilumab?,biomedico,4,5.0,5,5.0,5,4.8
What are the most common adverse events associated with dupilumab?,generalista,4,5.0,5,5.0,5,4.8
How effective is upadacitinib for atopic dermatitis compared with placebo?,biomedico,4,5.0,5,5.0,5,4.8
How effective is upadacitinib for atopic dermatitis compared with placebo?,generalista,4,3.0,4,5.0,4,4.0
What safety concerns are associated with JAK inhibitors in atopic dermatitis?,biomedico,4,5.0,5,5.0,5,4.8
What safety concerns are associated with JAK inhibitors in atopic dermatitis?,generalista,4,4.0,3,5.0,4,4.0
What is the mechanism of action of tralokinumab in atopic dermatitis?,biomedico,2,3.0,4,3.0,5,3.4
What is the mechanism of action of tralokinumab in atopic dermatitis?,generalista,3,2.0,3,4.0,3,3.0
How does abrocitinib affect itch (pruritus) in patients with atopic dermatitis?,biomedico,3,2.0,4,2.0,4,3.0
How does abrocitinib affect itch (pruritus) in patients with atopic dermatitis?,generalista,5,5.0,4,5.0,5,4.8
What is known about the efficacy of lebrikizumab in atopic dermatitis?,biomedico,4,5.0,5,5.0,5,4.8
What is known about the efficacy of lebrikizumab in atopic dermatitis?,generalista,4,5.0,5,3.0,5,4.4
What is the role of nemolizumab in treating atopic dermatitis and pruritus?,biomedico,4,5.0,4,5.0,5,4.6
What is the role of nemolizumab in treating atopic dermatitis and pruritus?,generalista,5,5.0,4,5.0,5,4.8
What dosing regimens have been studied for baricitinib in atopic dermatitis?,biomedico,3,4.0,4,5.0,5,4.2
What dosing regimens have been studied for baricitinib in atopic dermatitis?,generalista,3,2.0,4,2.0,3,2.8
Is dupilumab effective in children and adolescents with atopic dermatitis?,biomedico,3,4.0,4,2.0,5,3.6
Is dupilumab effective in children and adolescents with atopic dermatitis?,generalista,4,5.0,5,5.0,5,4.8
What are the long-term safety findings for upadacitinib in atopic dermatitis?,biomedico,4,5.0,5,5.0,5,4.8
What are the long-term safety findings for upadacitinib in atopic dermatitis?,generalista,4,3.0,4,2.0,4,3.4
How do biologics compare with JAK inhibitors for atopic dermatitis?,biomedico,3,,4,5.0,4,4.0
How do biologics compare with JAK inhibitors for atopic dermatitis?,generalista,4,4.0,3,5.0,4,4.0
What ocular adverse events are associated with dupilumab?,biomedico,4,5.0,5,5.0,5,4.8
What ocular adverse events are associated with dupilumab?,generalista,5,5.0,4,5.0,5,4.8
What is the efficacy of tralokinumab monotherapy versus placebo?,biomedico,2,,3,,2,2.33
What is the efficacy of tralokinumab monotherapy versus placebo?,generalista,5,5.0,4,5.0,5,4.8
What patient-reported outcomes improve with treatment in atopic dermatitis trials?,biomedico,3,4.0,4,2.0,5,3.6
What patient-reported outcomes improve with treatment in atopic dermatitis trials?,generalista,4,3.0,4,2.0,4,3.4
